Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By primary diagnosis,0,All diagnoses,Total,All visits,Visit count,145591000.0,8798000.0,128347000.0,162835000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By sex,Female,Visit count,79595000.0,4803000.0,70182000.0,89008000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By sex,Male,Visit count,65996000.0,4119000.0,57923000.0,74070000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,0-17 years old,Visit count,32146000.0,2840000.0,26579000.0,37713000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,18-44 years old,Visit count,55978000.0,3436000.0,49243000.0,62713000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,45-64 years old,Visit count,34359000.0,2099000.0,30245000.0,38473000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By age,65+ years old,Visit count,23108000.0,1734000.0,19710000.0,26506000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic white,Visit count,87290000.0,5617000.0,76281000.0,98298000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic black,Visit count,30688000.0,2894000.0,25015000.0,36361000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Hispanic,Visit count,22936000.0,2484000.0,18066000.0,27805000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic other,Visit count,4678000.0,623000.0,3458000.0,5899000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,Northeast,Visit count,24514000.0,2991000.0,18652000.0,30376000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,Midwest,Visit count,31428000.0,3834000.0,23913000.0,38944000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By region,South,Visit count,53485000.0,5412000.0,42877000.0,64092000.0,Yes
